Hola compañeros,

En este correo os envío los datos tomados por nuestra sonda.
Os envío "el bruto" en un archivo .txt 

Formato:

$Datos,n, humidity [%],Ext Temp [ºC], Int Tem [ºC],Pressure [KPa],Z 

Eg: $Datos,1,46,22,20,89,Z

En este ejemplo, estaríamos viendo los datos de la muestra número "1". Comprobamos que había un 46% de Humedad relativa, una temperatura exterior de 22ºC y una interior de 20ºC, con una presión de 89KPa.

Como podéis comprobar los dos termómetros no están del todo "calibrados/sincronizados". Son de diferente tipo y hay fluctuaciones entre ambos. A lo mejor se pueden hacer algún pequeño algoritmo de corrección que añada un OFFSET (en teoría, durante las primeras tomas, ambos dos deberían encontrarse al mismo valor) para poder comparar las medidas a lo largo del vuelo.

$Datos,514, 1,205,234,5,Z
$Datos,515, 1,205,234,5,Z
$Datos,516, 1,205,234,5,Z
$Datos,517, 1,204,234,5,Z
$Datos,518, 1,204,234,5,Z
$Datos,519, 1,203,234,5,Z
$Datos,520, 1,203,234,5,Z
$Datos,521, 1,202,234,5,Z
$Datos,522, 1,202,234,5,Z
$Datos,523, 1,202,234,5,Z
$Datos,524, 1,202,234,5,Z
$Datos,525, 1,202,234,5,Z
$Datos,526, 1,201,234,5,Z
$Datos,527, 1,201,234,5,Z
$Datos,528, 1,201,233,5,Z
$Datos,529, 1,201,233,5,Z
$Datos,530, 1,201,233,5,Z
$Datos,531, 1,201,233,5,Z
$Datos,532, 1,201,233,5,Z
$Datos,533, 1,201,232,5,Z
$Datos,534, 1,201,233,5,Z
$Datos,535, 1,201,232,5,Z
$Datos,536, 1,201,233,5,Z
$Datos,537, 1,201,233,5,Z
$Datos,538, 1,201,232,5,Z
$Datos,539, 1,201,232,5,Z
$Datos,540, 1,201,232,5,Z
$Datos,541, 1,201,232,5,Z
$Datos,542, 8,2,233,5,Z
$Datos,543, 8,1,232,5,Z
$Datos,544, 1,232,232,5,Z
$Datos,545, 1,230,232,5,Z
$Datos,546, 1,229,232,5,Z
$Datos,547, 1,225,232,6,Z
$Datos,548, 1,223,232,6,Z
$Datos,549, 1,225,232,7,Z
$Datos,550, 1,235,231,7,Z
$Datos,551, 9,1,231,8,Z
